ID,Año del hecho,Sexo de la victima,Grupo de edad de la victima,Mes del hecho,Dia del hecho,Departamento del hecho DANE,Municipio del hecho DANE,Lesion fatal de causa externa,Estado
1,2017,Hombre,(40 a 44),febrero,martes,Meta,San Carlos de Guaroa,Violenta - Muertes accidentales,Datos definitivos
2,2017,Hombre,(50 a 54),febrero,martes,Meta,Granada,Violenta - Muertes accidentales,Datos definitivos
3,2017,Hombre,(80 y más),abril,sábado,Meta,El Castillo,Violenta - Muertes accidentales,Datos definitivos
4,2017,Hombre,(25 a 29),febrero,domingo,Cesar,Aguachica,Violenta - Muertes accidentales,Datos definitivos
5,2017,Hombre,(15 a 17),marzo,martes,Cesar,Gamarra,Violenta - Muertes accidentales,Datos definitivos
6,2017,Hombre,(00 a 04),marzo,miércoles,Cesar,Aguachica,Violenta - Muertes accidentales,Datos definitivos
7,2017,Hombre,(20 a 24),marzo,viernes,Bolívar,Morales,Violenta - Muertes accidentales,Datos definitivos
8,2017,Mujer,(80 y más),abril,domingo,Cesar,Aguachica,Violenta - Muertes accidentales,Datos definitivos
9,2017,Hombre,(30 a 34),abril,jueves,Norte de Santander,La Esperanza,Violenta - Muertes accidentales,Datos definitivos
10,2017,Mujer,(25 a 29),febrero,lunes,Antioquia,Amagá,Violenta - Muertes accidentales,Datos definitivos
11,2017,Hombre,(45 a 49),marzo,miércoles,Antioquia,Amalfi,Violenta - Muertes accidentales,Datos definitivos
12,2017,Hombre,(50 a 54),marzo,domingo,Antioquia,Amalfi,Violenta - Muertes accidentales,Datos definitivos
13,2017,Hombre,(70 a 74),enero,domingo,Antioquia,Andes,Violenta - Muertes accidentales,Datos definitivos
14,2017,Hombre,(80 y más),enero,jueves,Caldas,Anserma,Violenta - Muertes accidentales,Datos definitivos
15,2017,Hombre,(25 a 29),febrero,sábado,Caldas,Risaralda,Violenta - Muertes accidentales,Datos definitivos
16,2017,Hombre,(20 a 24),marzo,domingo,Caldas,Anserma,Violenta - Muertes accidentales,Datos definitivos
17,2017,Hombre,(30 a 34),febrero,jueves,Antioquia,Anzá,Violenta - Muertes accidentales,Datos definitivos
18,2017,Hombre,(70 a 74),enero,martes,Antioquia,Apartadó,Violenta - Muertes accidentales,Datos definitivos
19,2017,Hombre,(55 a 59),febrero,martes,Antioquia,Apartadó,Violenta - Muertes accidentales,Datos definitivos
20,2017,Mujer,(00 a 04),febrero,lunes,Antioquia,Apartadó,Violenta - Muertes accidentales,Datos definitivos
21,2017,Hombre,(10 a 14),abril,miércoles,Arauca,Arauquita,Violenta - Muertes accidentales,Datos definitivos
22,2017,Hombre,(25 a 29),enero,miércoles,Antioquia,Arboletes,Violenta - Muertes accidentales,Datos definitivos
23,2017,Hombre,(40 a 44),enero,lunes,Quindío,Montenegro,Violenta - Muertes accidentales,Datos definitivos
24,2017,Mujer,(80 y más),enero,viernes,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
25,2017,Hombre,(75 a 79),enero,miércoles,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
26,2017,Hombre,(70 a 74),febrero,jueves,Quindío,Génova,Violenta - Muertes accidentales,Datos definitivos
27,2017,Mujer,(70 a 74),febrero,domingo,Quindío,Calarcá,Violenta - Muertes accidentales,Datos definitivos
28,2017,Mujer,(75 a 79),marzo,sábado,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
29,2017,Hombre,(50 a 54),marzo,martes,Quindío,Génova,Violenta - Muertes accidentales,Datos definitivos
30,2017,Hombre,(40 a 44),abril,domingo,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
31,2017,Hombre,(70 a 74),abril,viernes,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
32,2017,Hombre,(20 a 24),abril,viernes,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
33,2017,Hombre,(80 y más),marzo,martes,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
34,2017,Hombre,(80 y más),abril,miércoles,Quindío,Armenia,Violenta - Muertes accidentales,Datos definitivos
35,2017,Mujer,(35 a 39),abril,domingo,Boyacá,Moniquirá,Violenta - Muertes accidentales,Datos definitivos
36,2017,Hombre,(80 y más),enero,viernes,Santander,Barrancabermeja,Violenta - Muertes accidentales,Datos definitivos
37,2017,Hombre,(35 a 39),enero,domingo,Santander,Sabana de Torres,Violenta - Muertes accidentales,Datos definitivos
38,2017,Hombre,(30 a 34),enero,domingo,Santander,Sabana de Torres,Violenta - Muertes accidentales,Datos definitivos
39,2017,Hombre,(45 a 49),marzo,lunes,Santander,Barrancabermeja,Violenta - Muertes accidentales,Datos definitivos
40,2017,Hombre,(35 a 39),marzo,lunes,Santander,Barrancabermeja,Violenta - Muertes accidentales,Datos definitivos
41,2017,Hombre,(00 a 04),abril,viernes,Santander,Barrancabermeja,Violenta - Muertes accidentales,Datos definitivos
42,2017,Hombre,(00 a 04),abril,domingo,Santander,Barrancabermeja,Violenta - Muertes accidentales,Datos definitivos
43,2017,Hombre,(60 a 64),abril,miércoles,Santander,Barrancabermeja,Violenta - Muertes accidentales,Datos definitivos
44,2017,Hombre,(40 a 44),enero,jueves,Santander,El Carmen de Chucurí,Violenta - Muertes accidentales,Datos definitivos
45,2017,Hombre,(20 a 24),enero,lunes,Atlántico,Barranquilla,Violenta - Muertes accidentales,Datos definitivos
46,2017,Hombre,(40 a 44),enero,martes,Atlántico,Galapa,Violenta - Muertes accidentales,Datos definitivos
47,2017,Hombre,(10 a 14),enero,miércoles,Atlántico,Ponedera,Violenta - Muertes accidentales,Datos definitivos
48,2017,Hombre,(18 a 19),enero,jueves,Bolívar,Mompós,Violenta - Muertes accidentales,Datos definitivos
49,2017,Mujer,(35 a 39),enero,jueves,Atlántico,Barranquilla,Violenta - Muertes accidentales,Datos definitivos
50,2017,Hombre,(60 a 64),enero,viernes,Atlántico,Barranquilla,Violenta - Muertes accidentales,Datos definitivos
51,2017,Mujer,(80 y más),enero,viernes,Atlántico,Barranquilla,Violenta - Muertes accidentales,Datos definitivos
52,2017,Hombre,(00 a 04),enero,sábado,Atlántico,Soledad,Violenta - Muertes accidentales,Datos definitivos
53,2017,Hombre,(50 a 54),enero,martes,Atlántico,Barranquilla,Violenta - Muertes accidentales,Datos definitivos
54,2017,Mujer,(00 a 04),enero,domingo,Atlántico,Campo de la Cruz,Violenta - Muertes accidentales,Datos definitivos
55,2017,Hombre,(00 a 04),enero,jueves,Magdalena,Ariguaní,Violenta - Muertes accidentales,Datos definitivos
56,2017,Hombre,(05 a 09),enero,martes,Atlántico,Repelón,Violenta - Muertes accidentales,Datos definitivos
57,2017,Hombre,(45 a 49),enero,martes,Atlántico,Baranoa,Violenta - Muertes accidentales,Datos definitivos
58,2017,Hombre,(05 a 09),enero,domingo,Atlántico,Barranquilla,Violenta - Muertes accidentales,Datos definitivos
59,2017,Hombre,(45 a 49),enero,domingo,Atlántico,Puerto Colombia,Violenta - Muertes accidentales,Datos definitivos
60,2017,Hombre,(55 a 59),febrero,miércoles,Atlántico,Manatí,Violenta - Muertes accidentales,Datos definitivos
61,2017,Mujer,(15 a 17),febrero,jueves,Atlántico,Baranoa,Violenta - Muertes accidentales,Datos definitivos
62,2017,Hombre,(35 a 39),enero,sábado,Bolívar,Magangué,Violenta - Muertes accidentales,Datos definitivos
63,2017,Hombre,(50 a 54),febrero,jueves,Atlántico,Barranquilla,Violenta - Muertes accidentales,Datos definitivos
64,2017,Hombre,(25 a 29),febrero,jueves,Atlántico,Soledad,Violenta - Muertes accidentales,Datos definitivos
